;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
28;0001209191-22-028971;2022-05-13;2022-05-11;2022-05-13T19:01:48.000Z;;4;;;;5471;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
29;0001209191-22-028967;2022-05-13;2022-05-11;2022-05-13T18:58:50.000Z;;4;;;;9743;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
30;0001209191-22-028965;2022-05-13;2022-05-11;2022-05-13T18:55:39.000Z;;4;;;;9449;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
31;0000004127-22-000020;2022-05-13;2022-05-11;2022-05-13T16:42:58.000Z;34;8-K;001-05560;22923491;5.07;212760;1;1;swks-20220511.htm;8-K
32;0000004127-22-000019;2022-05-13;2022-01-28;2022-05-13T16:38:56.000Z;34;8-K/A;001-05560;22923431;5.02;174166;1;1;swks-20220128.htm;8-K/A
33;0000004127-22-000015;2022-05-04;2022-04-01;2022-05-03T19:38:51.000Z;34;10-Q;001-05560;22889181;;5828143;1;1;swks-20220401.htm;10-Q
34;0000004127-22-000012;2022-05-03;2022-05-03;2022-05-03T16:04:41.000Z;34;8-K;001-05560;22886770;2.02,8.01,9.01;546326;1;1;swks-20220503.htm;8-K
35;0001104659-22-052401;2022-04-28;;2022-04-28T17:15:34.000Z;34;DEFA14A;001-05560;22868057;;37199;0;0;tm2213845d1_defa14a.htm;DEFA14A
36;0001104659-22-049319;2022-04-25;;2022-04-25T09:15:35.000Z;34;DEFA14A;001-05560;22847518;;5463171;0;0;tm2213194d1_defa14a.htm;DEFA14A
37;0001209191-22-024342;2022-04-13;2022-04-11;2022-04-13T18:30:22.000Z;;4;;;;9081;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
38;0001214659-22-004881;2022-04-06;;2022-04-05T18:18:54.000Z;34;PX14A6G;001-05560;22808660;;79317;0;0;b445224px14a6g.htm;
39;0001209191-22-021844;2022-03-31;2022-03-29;2022-03-31T18:30:13.000Z;;4;;;;5803;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
40;0001104659-22-038082;2022-03-25;;2022-03-25T16:09:17.000Z;34;DEFA14A;001-05560;22771445;;549275;0;0;tm223414d3_defa14a.htm;DEFA14A
41;0001104659-22-038076;2022-03-25;2022-05-11;2022-03-25T16:05:42.000Z;34;DEF 14A;001-05560;22771373;;6207408;0;0;tm223414-4_def14a.htm;DEF 14A
42;0001104659-22-033966;2022-03-15;2022-05-11;2022-03-15T16:30:45.000Z;34;PRE 14A;001-05560;22741543;;6165061;0;0;tm223414-2_pre14a.htm;PRE 14A
43;0001209191-22-011450;2022-02-18;2022-02-16;2022-02-18T18:30:13.000Z;;4;;;;5803;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
44;0001209191-22-008962;2022-02-11;2022-02-09;2022-02-11T17:51:08.000Z;;4;;;;5610;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
45;0001104659-22-018578;2022-02-10;;2022-02-10T08:37:44.000Z;34;SC 13G/A;005-34048;22610823;;13122;0;0;tv01905-skyworkssolutionsinc.htm;SCHEDULE 13G/A
46;0001209191-22-008199;2022-02-09;2022-02-07;2022-02-09T18:30:12.000Z;;4;;;;5540;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
47;0001209191-22-007822;2022-02-08;2022-02-02;2022-02-08T18:30:11.000Z;;3;;;;6202;0;0;xslF345X02/doc3.xml;FORM 3 SUBMISSION
48;0001209191-22-007317;2022-02-04;2022-02-02;2022-02-04T18:30:17.000Z;;4;;;;9572;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
49;0001209191-22-007306;2022-02-04;2022-01-31;2022-02-04T18:14:30.000Z;;3;;;;6124;0;0;xslF345X02/doc3.xml;FORM 3 SUBMISSION
50;0000004127-22-000010;2022-02-04;2021-12-31;2022-02-03T21:03:59.000Z;34;10-Q;001-05560;22590599;;4932031;1;1;swks-20211231.htm;10-Q
51;0000004127-22-000007;2022-02-03;2022-02-03;2022-02-03T16:03:50.000Z;34;8-K;001-05560;22588232;2.02,8.01,9.01;469625;1;1;swks-20220203.htm;8-K
52;0000004127-22-000004;2022-02-02;2022-01-28;2022-02-02T16:06:41.000Z;34;8-K;001-05560;22583650;5.02;176177;1;1;swks-20220128.htm;8-K
53;0000834237-22-004081;2022-02-01;;2022-01-31T17:59:30.000Z;34;SC 13G/A;005-34048;22575823;;13745;0;0;us83088m1027_012822.txt;
54;0000004127-22-000002;2022-01-28;2021-10-01;2022-01-28T16:07:26.000Z;34;10-K/A;001-05560;22568831;;906725;1;1;swks-20211001.htm;10-K/A
55;0001209191-22-004485;2022-01-21;2022-01-19;2022-01-21T18:30:15.000Z;;4;;;;7796;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
56;0001209191-22-003125;2022-01-12;2022-01-10;2022-01-12T18:30:15.000Z;;4;;;;5819;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
57;0001209191-22-002547;2022-01-07;2022-01-05;2022-01-07T18:30:11.000Z;;4;;;;9574;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
58;0001209191-21-071165;2021-12-23;2021-12-22;2021-12-23T18:27:47.000Z;;4;;;;7799;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
59;0000004127-21-000060;2021-12-17;2021-12-15;2021-12-17T16:16:23.000Z;34;8-K;001-05560;211501773;5.02;179375;1;1;swks-20211215.htm;8-K
60;0001209191-21-069120;2021-12-10;2021-12-08;2021-12-10T18:31:40.000Z;;4;;;;11356;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
61;0001209191-21-066850;2021-11-24;2021-11-24;2021-11-24T18:27:05.000Z;;4;;;;11357;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
62;0000004127-21-000058;2021-11-24;2021-10-01;2021-11-24T16:48:16.000Z;34;10-K;001-05560;211447478;;10223295;1;1;swks-20211001.htm;10-K
63;0001209191-21-065979;2021-11-19;2021-11-15;2021-11-19T20:10:12.000Z;;3;;;;12465;0;0;xslF345X02/doc3.xml;FORM 3 SUBMISSION
64;0001209191-21-065923;2021-11-19;2021-11-18;2021-11-19T18:30:13.000Z;;4;;;;5804;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
65;0001209191-21-065610;2021-11-18;2021-11-16;2021-11-18T18:28:40.000Z;;4;;;;6629;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
66;0001209191-21-064312;2021-11-12;2021-11-10;2021-11-12T18:03:23.000Z;;4;;;;20934;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
67;0001209191-21-064309;2021-11-12;2021-11-10;2021-11-12T18:02:11.000Z;;4;;;;18266;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
68;0001209191-21-064307;2021-11-12;2021-11-10;2021-11-12T18:01:38.000Z;;4;;;;22938;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
69;0001209191-21-064305;2021-11-12;2021-11-10;2021-11-12T18:00:30.000Z;;4;;;;18256;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
70;0001209191-21-064304;2021-11-12;2021-11-10;2021-11-12T18:00:28.000Z;;4;;;;19208;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
71;0001209191-21-063733;2021-11-09;2021-11-05;2021-11-09T19:08:11.000Z;;4;;;;42178;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
72;0001209191-21-063729;2021-11-09;2021-11-05;2021-11-09T19:06:16.000Z;;4;;;;32371;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
73;0001209191-21-063726;2021-11-09;2021-11-05;2021-11-09T19:05:00.000Z;;4;;;;31268;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
74;0001209191-21-063724;2021-11-09;2021-11-05;2021-11-09T19:03:59.000Z;;4;;;;26757;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
75;0001209191-21-063719;2021-11-09;2021-11-05;2021-11-09T19:02:00.000Z;;4;;;;33112;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
76;0000004127-21-000053;2021-11-04;2021-11-04;2021-11-04T16:04:21.000Z;34;8-K;001-05560;211379857;2.02,8.01,9.01;561891;1;1;swks-20211104.htm;8-K
77;0001209191-21-054881;2021-09-03;2021-09-01;2021-09-03T18:31:07.000Z;;4;;;;11759;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
78;0001209191-21-054141;2021-08-31;2021-08-30;2021-08-31T18:34:00.000Z;;4;;;;7107;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
79;0001209191-21-052840;2021-08-20;2021-08-18;2021-08-20T18:36:59.000Z;;4;;;;7795;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
80;0001209191-21-052349;2021-08-18;2021-08-16;2021-08-18T18:30:39.000Z;;4;;;;5269;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
81;0001209191-21-051256;2021-08-12;2021-08-10;2021-08-12T18:36:27.000Z;;4;;;;7796;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
82;0001209191-21-050485;2021-08-09;2021-08-06;2021-08-09T18:31:08.000Z;;4;;;;4593;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
83;0001209191-21-050238;2021-08-06;2021-08-04;2021-08-06T18:54:18.000Z;;4;;;;22999;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
84;0001209191-21-050234;2021-08-06;2021-08-04;2021-08-06T18:39:21.000Z;;4;;;;9586;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
85;0000004127-21-000050;2021-07-30;2021-07-02;2021-07-29T17:46:32.000Z;34;10-Q;001-05560;211128906;;6599806;1;1;swks-20210702.htm;10-Q
86;0000004127-21-000048;2021-07-29;2021-07-29;2021-07-29T16:05:38.000Z;34;8-K;001-05560;211127383;2.02,8.01,9.01;552349;1;1;swks-20210729.htm;8-K
87;0001209191-21-048462;2021-07-28;2021-07-26;2021-07-28T18:30:31.000Z;;4;;;;7107;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
88;0001104659-21-095634;2021-07-26;2021-07-26;2021-07-26T08:07:38.000Z;34;8-K;001-05560;211112500;2.03,8.01,9.01;237488;1;1;tm2123076d1_8k.htm;FORM 8-K
89;0000004127-21-000043;2021-06-08;2021-06-07;2021-06-08T16:22:09.000Z;34;8-K;001-05560;211002409;8.01;181390;1;1;swks-20210607.htm;8-K
90;0000004127-21-000040;2021-05-28;;2021-05-28T16:06:13.000Z;34;SD;001-05560;21980159;;388612;0;0;cy20formsdcmr.htm;SD
91;0001104659-21-072130;2021-05-26;2021-05-21;2021-05-26T09:14:04.000Z;34;8-K;001-05560;21962942;1.01,2.03,8.01,9.01;2944682;1;1;tm2115447d6_8k.htm;FORM 8-K
92;0001104659-21-068031;2021-05-17;2021-05-12;2021-05-17T16:04:31.000Z;34;8-K;001-05560;21930336;8.01,9.01;486045;1;1;tm2116573d1_8k.htm;FORM 8-K
93;0001209191-21-032884;2021-05-14;2021-05-12;2021-05-14T18:12:41.000Z;;4;;;;5506;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
94;0001209191-21-032880;2021-05-14;2021-05-12;2021-05-14T18:10:54.000Z;;4;;;;5496;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
95;0001209191-21-032877;2021-05-14;2021-05-12;2021-05-14T18:09:36.000Z;;4;;;;5612;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
96;0001209191-21-032874;2021-05-14;2021-05-12;2021-05-14T18:08:17.000Z;;4;;;;5503;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
97;0001209191-21-032870;2021-05-14;2021-05-12;2021-05-14T18:06:12.000Z;;4;;;;5477;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
98;0001209191-21-032866;2021-05-14;2021-05-12;2021-05-14T18:05:01.000Z;;4;;;;5470;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
99;0001209191-21-032860;2021-05-14;2021-05-12;2021-05-14T18:00:51.000Z;;4;;;;5506;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
100;0000004127-21-000036;2021-05-14;2021-05-12;2021-05-14T16:28:53.000Z;34;8-K;001-05560;21925115;5.02,5.07,9.01;219923;1;1;swks-20210512.htm;8-K
101;0001104659-21-066856;2021-05-14;;2021-05-14T16:08:48.000Z;33;424B5;333-255945;21924624;;955573;0;0;tm2115447-5_424b5.htm;424B5
102;0000004127-21-000033;2021-05-13;2021-05-13;2021-05-13T08:32:00.000Z;34;8-K;001-05560;21917356;7.01,9.01;270146;1;1;swks-20210513.htm;8-K
103;0001104659-21-065227;2021-05-12;;2021-05-12T17:16:49.000Z;34;FWP;333-255945;21916179;;27692;0;0;tm2115447d4_fwp.htm;FWP
104;0001104659-21-064880;2021-05-12;;2021-05-12T09:12:12.000Z;33;424B5;333-255945;21913658;;941429;0;0;tm2115447-3_424b5.htm;424B5
105;0001104659-21-063502;2021-05-10;;2021-05-10T08:45:41.000Z;33;S-3ASR;333-255945;21905400;;1499785;0;0;tm2115447-1_s3asr.htm;S-3ASR
106;0001209191-21-031081;2021-05-07;2021-05-06;2021-05-07T20:05:01.000Z;;4;;;;7037;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
107;0001209191-21-031079;2021-05-07;2021-05-06;2021-05-07T20:02:59.000Z;;4;;;;7948;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
108;0001209191-21-031076;2021-05-07;2021-05-06;2021-05-07T20:00:08.000Z;;4;;;;7002;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
109;0001209191-21-031074;2021-05-07;2021-05-06;2021-05-07T19:58:48.000Z;;4;;;;7828;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
110;0001209191-21-031072;2021-05-07;2021-05-06;2021-05-07T19:57:15.000Z;;4;;;;7037;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
111;0001209191-21-031069;2021-05-07;2021-05-06;2021-05-07T19:55:22.000Z;;4;;;;7035;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
112;0001209191-21-031067;2021-05-07;2021-05-06;2021-05-07T19:53:49.000Z;;4;;;;7009;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
113;0001209191-21-031063;2021-05-07;2021-05-06;2021-05-07T19:52:03.000Z;;4;;;;7360;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
114;0000004127-21-000029;2021-04-30;2021-04-02;2021-04-29T18:34:19.000Z;34;10-Q;001-05560;21872773;;5675538;1;1;swks-20210402.htm;10-Q
115;0000004127-21-000026;2021-04-29;2021-04-29;2021-04-29T16:03:48.000Z;34;8-K;001-05560;21870389;2.02,8.01,9.01;553335;1;1;swks-20210429.htm;8-K
116;0001104659-21-053805;2021-04-22;2021-04-22;2021-04-22T16:07:18.000Z;34;8-K;001-05560;21844852;1.01,7.01,9.01;4281301;1;1;tm2113063d1_8k.htm;FORM 8-K
117;0001209191-21-026307;2021-04-09;2021-04-09;2021-04-09T19:00:11.000Z;;4;;;;9082;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
118;0001104659-21-042041;2021-03-26;;2021-03-26T09:17:45.000Z;34;DEFA14A;001-05560;21774994;;710193;0;0;tm212370d3_defa14a.htm;DEFA14A
119;0001047469-21-000739;2021-03-26;2021-05-12;2021-03-26T09:15:21.000Z;34;DEF 14A;001-05560;21774988;;3047543;0;0;a2243013zdef14a.htm;DEF 14A
120;0000004127-21-000019;2021-02-16;2021-02-10;2021-02-16T16:46:26.000Z;34;8-K;001-05560;21639942;5.03,9.01;199699;1;1;swks-20210210.htm;8-K
121;0001209191-21-009400;2021-02-10;2021-02-08;2021-02-10T18:31:34.000Z;;4;;;;11545;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
122;0001104659-21-019096;2021-02-10;;2021-02-10T11:52:41.000Z;34;SC 13G/A;005-34048;21611968;;13984;0;0;tv01842-skyworkssolutionsinc.htm;SCHEDULE 13G/A
123;0000834237-21-005619;2021-02-01;;2021-02-01T08:30:03.000Z;34;SC 13G/A;005-34048;21574640;;13751;0;0;us83088m1027_013121.txt;
124;0000004127-21-000015;2021-01-29;2020-10-02;2021-01-29T16:30:34.000Z;34;10-K/A;001-05560;21571609;;898902;1;1;swks-20201002.htm;10-K/A
125;0000004127-21-000013;2021-01-29;2021-01-01;2021-01-28T17:40:37.000Z;34;10-Q;001-05560;21566640;;4797058;1;1;swks-20210101.htm;10-Q
126;0000004127-21-000011;2021-01-28;2021-01-28;2021-01-28T16:03:19.000Z;34;8-K;001-05560;21564940;2.02,8.01,9.01;448006;1;1;swks-20210128.htm;8-K
127;0000004127-21-000010;2021-01-28;2021-01-26;2021-01-28T16:01:57.000Z;34;8-K;001-05560;21564919;8.01;182434;1;1;swks-20210126.htm;8-K
128;0001209191-21-002323;2021-01-06;2021-01-04;2021-01-06T18:34:04.000Z;;4;;;;9786;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
129;0001209191-20-065089;2020-12-23;2020-12-21;2020-12-23T18:35:23.000Z;;4;;;;8622;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
130;0000004127-20-000060;2020-12-18;2020-12-14;2020-12-18T16:19:09.000Z;34;8-K;001-05560;201400849;5.02;186116;1;1;swks-20201214.htm;8-K
131;0001209191-20-060593;2020-11-25;2020-11-24;2020-11-25T19:04:50.000Z;;4;;;;11341;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
132;0001209191-20-059761;2020-11-20;2020-11-18;2020-11-20T18:44:15.000Z;;4;;;;9564;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
133;0001209191-20-059244;2020-11-18;2020-11-16;2020-11-18T19:05:48.000Z;;4;;;;9588;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
134;0000004127-20-000058;2020-11-17;2020-10-02;2020-11-16T20:05:07.000Z;34;10-K;001-05560;201318995;;9244981;1;1;swks-20201002.htm;10-K
135;0001209191-20-058395;2020-11-13;2020-11-10;2020-11-13T18:58:22.000Z;;4;;;;24612;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
136;0001209191-20-058392;2020-11-13;2020-11-11;2020-11-13T18:54:07.000Z;;4;;;;9219;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
137;0001209191-20-058390;2020-11-13;2020-11-11;2020-11-13T18:51:25.000Z;;4;;;;13867;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
138;0001209191-20-058387;2020-11-13;2020-11-11;2020-11-13T18:47:01.000Z;;4;;;;10164;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
139;0001209191-20-058383;2020-11-13;2020-11-11;2020-11-13T18:43:46.000Z;;4;;;;9213;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
140;0001209191-20-057519;2020-11-09;2020-11-05;2020-11-09T20:01:36.000Z;;4;;;;38402;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
141;0001209191-20-057517;2020-11-09;2020-11-05;2020-11-09T19:58:35.000Z;;4;;;;34003;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
142;0001209191-20-057515;2020-11-09;2020-11-05;2020-11-09T19:54:06.000Z;;4;;;;29552;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
143;0001209191-20-057512;2020-11-09;2020-11-05;2020-11-09T19:52:03.000Z;;4;;;;23194;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
144;0001209191-20-057510;2020-11-09;2020-11-05;2020-11-09T19:50:13.000Z;;4;;;;34948;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
145;0001209191-20-057357;2020-11-06;2020-10-02;2020-11-06T18:33:59.000Z;;5;;;;7300;0;0;xslF345X03/doc5.xml;FORM 5 SUBMISSION
146;0001209191-20-057355;2020-11-06;2020-10-02;2020-11-06T18:30:30.000Z;;5;;;;6223;0;0;xslF345X03/doc5.xml;FORM 5 SUBMISSION
147;0000004127-20-000051;2020-11-02;2020-11-02;2020-11-02T16:06:22.000Z;34;8-K;001-05560;201280503;2.02,8.01,9.01;529239;1;1;swks-20201102.htm;8-K
148;0001209191-20-054560;2020-10-09;2020-10-07;2020-10-09T18:28:54.000Z;;4;;;;7785;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
149;0001209191-20-051215;2020-09-18;2020-09-16;2020-09-18T18:37:50.000Z;;4;;;;11750;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
150;0001209191-20-050212;2020-09-11;2020-09-11;2020-09-11T18:47:34.000Z;;4;;;;5803;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
151;0001209191-20-049657;2020-09-04;2020-09-02;2020-09-04T18:40:42.000Z;;4;;;;5633;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
152;0001209191-20-049257;2020-09-02;2020-08-31;2020-09-02T18:44:26.000Z;;4;;;;7107;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
153;0001209191-20-049254;2020-09-02;2020-08-31;2020-09-02T18:41:07.000Z;;4;;;;9091;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
154;0001209191-20-048683;2020-08-28;2020-08-26;2020-08-28T18:30:15.000Z;;4;;;;4593;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
155;0001209191-20-046857;2020-08-14;2020-08-12;2020-08-14T18:37:04.000Z;;4;;;;5819;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
156;0001209191-20-046855;2020-08-14;2020-08-12;2020-08-14T18:34:05.000Z;;4;;;;9347;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
157;0001209191-20-045757;2020-08-07;2020-08-05;2020-08-07T19:35:22.000Z;;4;;;;5753;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
158;0001209191-20-045269;2020-08-05;2020-08-03;2020-08-05T18:36:38.000Z;;4;;;;6579;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
159;0001209191-20-043658;2020-07-24;2020-07-24;2020-07-24T18:33:14.000Z;;4;;;;7107;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
160;0000004127-20-000046;2020-07-24;2020-06-26;2020-07-23T17:35:52.000Z;34;10-Q;001-05560;201044401;;6950507;1;1;swks-20200626.htm;10-Q
161;0000004127-20-000044;2020-07-23;2020-07-23;2020-07-23T16:03:14.000Z;34;8-K;001-05560;201043695;2.02,8.01,9.01;709436;1;1;swks-20200723.htm;8-K
162;0001209191-20-042970;2020-07-17;2020-07-15;2020-07-17T18:35:15.000Z;;4;;;;13531;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
